Player,team,G,P,1st
M. Icardi,Galatasaray,21,6,6
E. Džeko,Fenerbahce,20,1,7
R. Manaj,Sivasspor,18,4,12
M. Thiam,Pendik,16,5,8
A. Buksa,Antalyaspor,14,3,6
K. Piątek,Başakşehir,14,3,7
A. Kara,Kasımpaşa,13,2,7
K. Aktürkoğlu,Galatasaray,12,3,5
Nuno da Costa,Kasımpaşa,12,0,5
D. Drăguş,Gaziantep,12,1,8
İ. Kahveci,Fenerbahce,12,0,4
P. Onuachu,Trabzonspor,12,0,5
O. Aydın,Alanyaspor,11,1,4
M. Batshuayi,Fenerbahce,11,4,2
S. Çikalleshi,Konyaspor,11,8,9
