Player,team,G,P,1st
L. de Jong,PSV,27,5,9
V. Pavlidis,AZ,27,1,12
S. Giménez,Feyenoord,21,1,7
B. Brobbey,Ajax,17,0,11
R. van Wolfswinkel,Twente,14,1,5
S. Steijn,Twente,13,1,6
K. Sierhuis,Fortuna,12,1,6
L. Thy,Zwolle,12,0,8
J. Bakayoko,PSV,11,0,4
T. Lauritsen,Sparta,11,3,6
M. Mattsson,NEC,11,2,5
T. Robinet,Almere,11,3,7
C. Akpom,Ajax,10,0,3
D. de Wit,AZ,10,1,5
J. Hornkamp,Heracles,10,3,5
