Team,last 5
Celtic,"['W', 'D', 'W', 'W', 'L']"
Rangers,"['D', 'L', 'D', 'W', 'L']"
Hearts,"['W', 'W', 'D', 'L', 'W']"
Kilmarnock,"['W', 'W', 'D', 'W', 'D']"
St. Mirren,"['L', 'L', 'D', 'L', 'W']"
Dundee,"['D', 'D', 'L', 'W', 'W']"
Hibernian,"['D', 'L', 'L', 'W', 'D']"
Motherwell,"['D', 'W', 'D', 'L', 'W']"
Aberdeen,"['D', 'D', 'W', 'W', 'L']"
St. Johnstone,"['L', 'W', 'L', 'L', 'D']"
Ross County,"['W', 'L', 'L', 'W', 'D']"
Livingston,"['L', 'D', 'L', 'L', 'D']"
