Player,team,G,P,1st
L. Shankland,Hearts,21,3,11
J. Tavernier,Rangers,17,12,9
B. Miovski,Aberdeen,14,3,10
T. Bair,Motherwell,13,2,8
C. Dessers,Rangers,13,0,6
M. O'Riley,Celtic,13,1,2
K. Furuhashi,Celtic,11,0,4
S. Murray,Ross County,11,0,8
A. Sima,Rangers,11,0,4
L. McCowan,Dundee,9,3,7
M. Watkins,Kilmarnock,9,0,5
J. McGrath,Aberdeen,8,0,2
K. Vassell,Kilmarnock,8,0,5
A. Idah,Celtic,7,2,2
M. Mandron,St. Mirren,7,0,3
