rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Celtic,33,2,2,6,12,5,2,3,0,1,3.21
2,Dundee,33,4,4,5,7,6,5,1,0,1,2.97
3,Motherwell,33,1,5,10,6,5,2,4,0,0,2.94
4,Rangers,33,1,5,7,9,7,3,1,0,0,2.88
5,Hibernian,33,2,4,6,8,10,3,0,0,0,2.88
6,Ross County,33,2,8,7,5,6,3,2,0,0,2.67
7,Aberdeen,33,4,3,11,7,5,0,3,0,0,2.55
8,St. Mirren,33,1,8,9,9,4,1,0,1,0,2.45
9,Livingston,33,4,6,8,6,5,3,1,0,0,2.45
10,Hearts,33,1,10,9,6,2,4,1,0,0,2.42
11,Kilmarnock,33,3,9,7,5,8,0,0,1,0,2.33
12,St. Johnstone,33,3,6,13,6,5,0,0,0,0,2.12
