Date,Competition,Home team,Score,Away team
05/04/21,FDA,OH Leuven,2-3,Genk
10/04/21,FDA,Cercle Brugge,3-0,OH Leuven
18/04/21,FDA,OH Leuven,1-2,SK Beveren
15/06/21,CLF,OH Leuven,7-1,Huldenberg
18/06/21,CLF,OH Leuven,5-1,Olympia Wijgmaal
23/06/21,CLF,OH Leuven,4-1,Rupel Boom
10/07/21,CLF,OH Leuven,1-0,Valenciennes
14/07/21,CLF,OH Leuven,CANC,Fortuna Sittard
17/07/21,CLF,Fortuna Düsseldorf,3-0,OH Leuven
24/07/21,FDA,OH Leuven,1-1,Zulte Waregem
31/07/21,FDA,Cercle Brugge,1-1,OH Leuven
08/08/21,FDA,OH Leuven,1-1,Sporting Charleroi
14/08/21,FDA,Genk,4-0,OH Leuven
21/08/21,FDA,OH Leuven,1-4,AS Eupen
29/08/21,FDA,Antwerp,2-2,OH Leuven
12/09/21,FDA,OH Leuven,2-1,Kortrijk
18/09/21,FDA,Mechelen,2-0,OH Leuven
24/09/21,FDA,Club Brugge,1-1,OH Leuven
02/10/21,FDA,OH Leuven,0-0,Beerschot
16/10/21,FDA,Standard Liège,2-2,OH Leuven
24/10/21,FDA,OH Leuven,4-1,Sint-Truiden
27/10/21,CUP,Lierse K,1-2,OH Leuven
31/10/21,FDA,Anderlecht,2-2,OH Leuven
05/11/21,FDA,OH Leuven,1-0,KV Oostende
11/11/21,CLF,OH Leuven,0-2,Genk
20/11/21,FDA,OH Leuven,1-3,RFC Seraing
26/11/21,FDA,Union Saint-Gilloise,1-3,OH Leuven
01/12/21,CUP,Westerlo,2-3,OH Leuven
04/12/21,FDA,OH Leuven,0-1,Gent
11/12/21,FDA,Kortrijk,2-1,OH Leuven
15/12/21,FDA,OH Leuven,1-4,Club Brugge
19/12/21,FDA,OH Leuven,2-1,Standard Liège
23/12/21,CUP,Club Brugge,4-1,OH Leuven
27/12/21,FDA,Sporting Charleroi,0-3,OH Leuven
08/01/22,CLF,Heidenheim,3-1,OH Leuven
15/01/22,FDA,OH Leuven,5-0,Mechelen
22/01/22,FDA,Beerschot,3-1,OH Leuven
26/01/22,FDA,Zulte Waregem,1-1,OH Leuven
12/10/19,CPL,KSV Roeselare,3-1,OH Leuven
20/10/19,CPL,Lommel,0-2,OH Leuven
25/10/19,CPL,OH Leuven,2-1,Westerlo
08/11/19,CPL,Excelsior Virton,0-1,OH Leuven
15/11/19,CPL,OH Leuven,0-3,Beerschot
22/11/19,CPL,Westerlo,1-2,OH Leuven
29/11/19,CPL,OH Leuven,2-1,Lokeren
06/12/19,CPL,Lommel,3-2,OH Leuven
13/12/19,CPL,KSV Roeselare,2-2,OH Leuven
21/12/19,CPL,OH Leuven,0-2,Excelsior Virton
06/01/20,CLF,Union Berlin,2-1,OH Leuven
11/01/20,CPL,Union Saint-Gilloise,2-3,OH Leuven
19/01/20,CPL,OH Leuven,1-3,Westerlo
24/01/20,CPL,Lokeren,1-1,OH Leuven
01/02/20,CPL,OH Leuven,2-1,KSV Roeselare
08/02/20,CPL,OH Leuven,3-0,Lommel
11/02/20,CPL,OH Leuven,0-0,Union Saint-Gilloise
14/02/20,CPL,Beerschot,2-1,OH Leuven
21/02/20,CPL,OH Leuven,3-5,Union Saint-Gilloise
28/02/20,CPL,Excelsior Virton,4-1,OH Leuven
08/03/20,CPL,Beerschot,1-0,OH Leuven
04/07/20,CLF,Club Brugge,4-1,OH Leuven
18/07/20,CLF,OH Leuven,2-4,RWDM
18/07/20,CLF,OH Leuven,2-0,Zulte Waregem
18/07/20,CLF,Standard Liège,CANC,OH Leuven
25/07/20,CLF,OH Leuven,3-0,Mechelen
02/08/20,CPL,OH Leuven,1-4,Beerschot
10/08/20,FDA,OH Leuven,1-1,AS Eupen
15/08/20,FDA,Genk,1-1,OH Leuven
22/08/20,FDA,OH Leuven,1-3,Sporting Charleroi
29/08/20,FDA,SK Beveren,1-3,OH Leuven
12/09/20,FDA,OH Leuven,1-0,Standard Liège
19/09/20,FDA,KV Oostende,3-1,OH Leuven
26/09/20,FDA,Gent,2-3,OH Leuven
03/10/20,FDA,OH Leuven,2-1,Zulte Waregem
11/10/20,CUP,Knokke,0-2,OH Leuven
18/10/20,FDA,Anderlecht,2-2,OH Leuven
24/10/20,FDA,OH Leuven,2-1,Club Brugge
31/10/20,FDA,Beerschot,4-2,OH Leuven
23/11/20,FDA,OH Leuven,2-2,Sint-Truiden
30/11/20,FDA,Antwerp,3-2,OH Leuven
05/12/20,FDA,OH Leuven,2-1,Cercle Brugge
08/12/20,FDA,OH Leuven,2-0,Excel Mouscron
12/12/20,FDA,Kortrijk,0-3,OH Leuven
15/12/20,FDA,Excel Mouscron,2-2,OH Leuven
20/12/20,FDA,OH Leuven,1-2,Mechelen
26/12/20,FDA,OH Leuven,1-2,KV Oostende
10/01/21,FDA,OH Leuven,1-0,Anderlecht
17/01/21,FDA,Sint-Truiden,3-1,OH Leuven
21/01/21,FDA,Zulte Waregem,2-3,OH Leuven
01/09/18,CPL,OH Leuven,1-3,Westerlo
08/09/18,CPL,Lommel,1-1,OH Leuven
15/09/18,CPL,Tubize,3-1,OH Leuven
22/09/18,CPL,OH Leuven,0-2,KSV Roeselare
30/09/18,CPL,OH Leuven,1-3,Union Saint-Gilloise
05/10/18,CPL,Mechelen,3-0,OH Leuven
19/10/18,CPL,Westerlo,0-1,OH Leuven
26/10/18,CPL,Beerschot,3-1,OH Leuven
03/11/18,CPL,OH Leuven,4-1,Tubize
09/11/18,CPL,KSV Roeselare,0-4,OH Leuven
16/11/18,CPL,OH Leuven,1-2,Union Saint-Gilloise
25/11/18,CPL,Beerschot,3-2,OH Leuven
01/12/18,CPL,OH Leuven,3-1,Lommel
04/12/18,CPL,OH Leuven,1-2,Lommel
07/12/18,CPL,KSV Roeselare,3-1,OH Leuven
14/12/18,CPL,OH Leuven,1-3,Mechelen
21/12/18,CPL,Westerlo,0-0,OH Leuven
06/01/19,CLF,Antwerp,1-0,OH Leuven
13/01/19,CPL,OH Leuven,0-2,Tubize
20/01/19,CPL,Union Saint-Gilloise,2-1,OH Leuven
27/01/19,CPL,Lommel,2-3,OH Leuven
01/02/19,CPL,OH Leuven,0-1,KSV Roeselare
09/02/19,CPL,Mechelen,2-1,OH Leuven
16/02/19,CPL,OH Leuven,3-0,Westerlo
24/02/19,CPL,Tubize,1-3,OH Leuven
03/03/19,CPL,OH Leuven,2-2,Beerschot
22/03/19,CPL,Lommel,0-2,OH Leuven
29/03/19,CPL,OH Leuven,0-1,Tubize
07/04/19,CPL,KSV Roeselare,2-2,OH Leuven
14/04/19,CPL,OH Leuven,3-0,KSV Roeselare
19/04/19,CPL,Tubize,0-3,OH Leuven
26/04/19,CPL,OH Leuven,1-0,Lommel
29/06/19,CLF,OH Leuven,3-1,Zulte Waregem
05/07/19,CLF,Kortrijk,2-0,OH Leuven
06/07/19,CLF,OH Leuven,4-4,Mechelen
10/07/19,CLF,OH Leuven,2-2,AS Eupen
13/07/19,CLF,OH Leuven,0-2,SK Beveren
20/07/19,CLF,Twente,0-0,OH Leuven
26/07/19,CLF,ADO Den Haag,1-1,OH Leuven
03/08/19,CPL,OH Leuven,1-0,Excelsior Virton
09/08/19,CPL,Westerlo,1-0,OH Leuven
16/08/19,CPL,OH Leuven,3-0,Beerschot
23/08/19,CUP,OH Leuven,6-0,RFC Wetteren
31/08/19,CPL,Lokeren,0-2,OH Leuven
07/09/19,CPL,OH Leuven,4-0,KSV Roeselare
14/09/19,CPL,Union Saint-Gilloise,1-1,OH Leuven
22/09/19,CPL,OH Leuven,1-0,Lommel
25/09/19,CUP,Sint-Truiden,E2-0E,OH Leuven
28/09/19,CPL,Beerschot,1-2,OH Leuven
05/10/19,CPL,OH Leuven,2-3,Lokeren
29/07/17,CLF,OH Leuven,1-1,Dender
05/08/17,CPL,OH Leuven,2-2,Lierse
12/08/17,CPL,KSV Roeselare,3-1,OH Leuven
19/08/17,CPL,OH Leuven,7-1,Cercle Brugge
27/08/17,CUP,OH Leuven,8-0,KFC Turnhout
02/09/17,CPL,Westerlo,2-2,OH Leuven
08/09/17,CPL,OH Leuven,2-0,Tubize
15/09/17,CPL,Union Saint-Gilloise,0-0,OH Leuven
19/09/17,CUP,Sint-Truiden,E4-2E,OH Leuven
24/09/17,CPL,OH Leuven,1-1,Beerschot
30/09/17,CPL,OH Leuven,2-0,KSV Roeselare
03/10/17,CPL,Cercle Brugge,0-3,OH Leuven
08/10/17,CPL,OH Leuven,2-1,Westerlo
13/10/17,CPL,Tubize,1-2,OH Leuven
22/10/17,CPL,Beerschot,2-2,OH Leuven
28/10/17,CPL,OH Leuven,1-0,Union Saint-Gilloise
05/11/17,CPL,Lierse,2-1,OH Leuven
12/11/17,CPL,OH Leuven,1-1,KSV Roeselare
18/11/17,CPL,Beerschot,1-2,OH Leuven
