Date,Competition,Home team,Score,Away team
21/03/21,FDA,Gent,1-0,Cercle Brugge
04/04/21,FDA,Cercle Brugge,2-1,Beerschot
10/04/21,FDA,Cercle Brugge,3-0,OH Leuven
18/04/21,FDA,KV Oostende,1-1,Cercle Brugge
26/06/21,CLF,Dunkerque,1-1,Cercle Brugge
02/07/21,CLF,Zulte Waregem,1-2,Cercle Brugge
03/07/21,CLF,Standard Liège,3-2,Cercle Brugge
10/07/21,CLF,Monaco,3-1,Cercle Brugge
17/07/21,CLF,Strasbourg,CANC,Cercle Brugge
27/07/21,FDA,Beerschot,0-1,Cercle Brugge
31/07/21,FDA,Cercle Brugge,1-1,OH Leuven
04/08/21,CLF,Toekomst Menen,1-1,Cercle Brugge
06/08/21,FDA,Club Brugge,1-1,Cercle Brugge
15/08/21,FDA,Cercle Brugge,1-2,Anderlecht
21/08/21,FDA,RFC Seraing,2-1,Cercle Brugge
28/08/21,FDA,Cercle Brugge,0-1,Sint-Truiden
02/09/21,CLF,Utrecht,3-1,Cercle Brugge
11/09/21,FDA,Zulte Waregem,2-4,Cercle Brugge
17/09/21,FDA,Cercle Brugge,1-2,AS Eupen
26/09/21,FDA,Gent,2-1,Cercle Brugge
02/10/21,FDA,Cercle Brugge,0-3,Union Saint-Gilloise
16/10/21,FDA,KV Oostende,2-1,Cercle Brugge
23/10/21,FDA,Cercle Brugge,1-1,Standard Liège
28/10/21,CUP,Cercle Brugge,3-0,Tienen
31/10/21,FDA,Cercle Brugge,0-1,Antwerp
07/11/21,FDA,Genk,1-1,Cercle Brugge
12/11/21,CLF,Cercle Brugge,5-1,Excel Mouscron
20/11/21,FDA,Cercle Brugge,1-2,Sporting Charleroi
27/11/21,FDA,Cercle Brugge,3-1,Mechelen
01/12/21,CUP,Mechelen,E2-1E,Cercle Brugge
04/12/21,FDA,Kortrijk,0-2,Cercle Brugge
11/12/21,FDA,Sint-Truiden,1-2,Cercle Brugge
14/12/21,FDA,Cercle Brugge,2-0,RFC Seraing
18/12/21,FDA,Union Saint-Gilloise,3-2,Cercle Brugge
26/12/21,FDA,Cercle Brugge,2-0,Club Brugge
08/01/22,CLF,Union Saint-Gilloise,4-1,Cercle Brugge
08/01/22,CLF,Werder Bremen,CANC,Cercle Brugge
16/01/22,FDA,AS Eupen,0-2,Cercle Brugge
23/01/22,FDA,Cercle Brugge,3-1,Zulte Waregem
26/01/22,FDA,Anderlecht,0-2,Cercle Brugge
29/01/22,FDA,Cercle Brugge,0-1,KV Oostende
05/02/22,FDA,Standard Liège,1-1,Cercle Brugge
12/02/22,FDA,OH Leuven,3-2,Cercle Brugge
23/11/19,FDA,SK Beveren,1-1,Cercle Brugge
01/12/19,FDA,Standard Liège,2-1,Cercle Brugge
07/12/19,FDA,Cercle Brugge,1-2,Genk
14/12/19,FDA,Sporting Charleroi,3-0,Cercle Brugge
21/12/19,FDA,Cercle Brugge,2-0,Zulte Waregem
26/12/19,FDA,Kortrijk,1-0,Cercle Brugge
10/01/20,CLF,Cercle Brugge,3-3,Augsburg
19/01/20,FDA,Cercle Brugge,1-2,Antwerp
26/01/20,FDA,Cercle Brugge,1-2,Anderlecht
01/02/20,FDA,AS Eupen,1-0,Cercle Brugge
08/02/20,FDA,Cercle Brugge,3-2,Mechelen
15/02/20,FDA,Sint-Truiden,0-1,Cercle Brugge
22/02/20,FDA,Excel Mouscron,0-1,Cercle Brugge
01/03/20,FDA,Cercle Brugge,1-0,Gent
07/03/20,FDA,Club Brugge,2-1,Cercle Brugge
15/03/20,FDA,Cercle Brugge,CANC,KV Oostende
04/07/20,CLF,Zulte Waregem,2-2,Cercle Brugge
11/07/20,CLF,Kortrijk,0-1,Cercle Brugge
17/07/20,CLF,Cercle Brugge,0-2,Monaco
22/07/20,CLF,Sint-Eloois-Winkel,1-2,Cercle Brugge
25/07/20,CLF,Deinze,4-0,Cercle Brugge
29/07/20,CLF,Knokke,CANC,Cercle Brugge
01/08/20,CLF,KV Oostende,3-1,Cercle Brugge
08/08/20,FDA,Standard Liège,1-0,Cercle Brugge
16/08/20,FDA,Cercle Brugge,2-1,Antwerp
22/08/20,FDA,Mechelen,2-3,Cercle Brugge
29/08/20,FDA,Cercle Brugge,0-1,Kortrijk
04/09/20,CLF,Cercle Brugge,1-1,Dunkerque
13/09/20,FDA,Anderlecht,2-0,Cercle Brugge
21/09/20,FDA,Cercle Brugge,3-0,Sint-Truiden
27/09/20,FDA,Club Brugge,2-1,Cercle Brugge
03/10/20,FDA,AS Eupen,1-2,Cercle Brugge
17/10/20,FDA,Cercle Brugge,5-2,Gent
31/10/20,FDA,Sporting Charleroi,3-0,Cercle Brugge
08/11/20,FDA,Cercle Brugge,1-3,Zulte Waregem
21/11/20,FDA,SK Beveren,0-2,Cercle Brugge
25/11/20,FDA,Cercle Brugge,1-2,Excel Mouscron
28/11/20,FDA,Cercle Brugge,1-5,Genk
05/12/20,FDA,OH Leuven,2-1,Cercle Brugge
12/12/20,FDA,Cercle Brugge,0-1,KV Oostende
15/12/20,FDA,Cercle Brugge,3-4,Sporting Charleroi
26/12/20,FDA,Zulte Waregem,1-0,Cercle Brugge
09/01/21,FDA,Cercle Brugge,1-2,AS Eupen
13/01/21,FDA,Beerschot,1-1,Cercle Brugge
17/01/21,FDA,Cercle Brugge,0-1,Standard Liège
20/01/21,FDA,Antwerp,1-0,Cercle Brugge
23/01/21,FDA,Kortrijk,1-2,Cercle Brugge
28/01/21,FDA,Cercle Brugge,1-2,Club Brugge
31/01/21,FDA,Sint-Truiden,3-0,Cercle Brugge
03/02/21,CUP,OH Leuven,2-3,Cercle Brugge
03/11/18,FDA,Cercle Brugge,2-1,Excel Mouscron
10/11/18,FDA,Cercle Brugge,2-0,SK Beveren
24/11/18,FDA,Genk,1-2,Cercle Brugge
01/12/18,FDA,Sporting Charleroi,3-1,Cercle Brugge
09/12/18,FDA,Cercle Brugge,0-3,Antwerp
16/12/18,FDA,Cercle Brugge,2-1,Anderlecht
21/12/18,FDA,Gent,4-1,Cercle Brugge
26/12/18,FDA,Cercle Brugge,0-1,AS Eupen
11/01/19,CLF,Cercle Brugge,2-2,Stuttgart
19/01/19,FDA,SK Beveren,1-1,Cercle Brugge
26/01/19,FDA,Cercle Brugge,1-2,Sint-Truiden
02/02/19,FDA,Zulte Waregem,3-2,Cercle Brugge
10/02/19,FDA,Cercle Brugge,2-2,Club Brugge
17/02/19,FDA,Excel Mouscron,3-0,Cercle Brugge
23/02/19,FDA,Cercle Brugge,2-2,KV Oostende
02/03/19,FDA,Kortrijk,2-1,Cercle Brugge
10/03/19,FDA,Cercle Brugge,1-2,Standard Liège
17/03/19,FDA,Lokeren,3-1,Cercle Brugge
30/03/19,UEL,Union Saint-Gilloise,3-1,Cercle Brugge
02/04/19,UEL,Cercle Brugge,3-3,Zulte Waregem
06/04/19,UEL,Excel Mouscron,2-3,Cercle Brugge
13/04/19,UEL,Cercle Brugge,3-2,SK Beveren
20/04/19,UEL,Cercle Brugge,1-2,Kortrijk
27/04/19,UEL,Zulte Waregem,6-2,Cercle Brugge
04/05/19,UEL,Cercle Brugge,2-3,Union Saint-Gilloise
11/05/19,UEL,SK Beveren,2-1,Cercle Brugge
14/05/19,UEL,Cercle Brugge,0-3,Excel Mouscron
17/05/19,UEL,Kortrijk,4-0,Cercle Brugge
26/06/19,CLF,RWDM,0-0,Cercle Brugge
29/06/19,CLF,Cercle Brugge,1-1,KV Oostende
03/07/19,CLF,Cercle Brugge,2-3,Zulte Waregem
06/07/19,CLF,Cercle Brugge,1-4,Monaco
13/07/19,CLF,Cercle Brugge,1-1,Lens
19/07/19,CLF,Auxerre,1-0,Cercle Brugge
27/07/19,FDA,Cercle Brugge,0-2,Standard Liège
03/08/19,FDA,KV Oostende,3-1,Cercle Brugge
10/08/19,FDA,Cercle Brugge,1-3,Kortrijk
17/08/19,FDA,Mechelen,3-1,Cercle Brugge
24/08/19,FDA,Cercle Brugge,1-0,SK Beveren
01/09/19,FDA,Gent,3-2,Cercle Brugge
14/09/19,FDA,Cercle Brugge,0-2,Club Brugge
21/09/19,FDA,Antwerp,3-1,Cercle Brugge
24/09/19,CUP,Cercle Brugge,0-1,Rebecq
28/09/19,FDA,Cercle Brugge,1-2,AS Eupen
05/10/19,FDA,Zulte Waregem,6-0,Cercle Brugge
20/10/19,FDA,Cercle Brugge,0-3,Sporting Charleroi
26/10/19,FDA,Genk,1-0,Cercle Brugge
29/10/19,FDA,Cercle Brugge,2-2,Excel Mouscron
03/11/19,FDA,Anderlecht,2-1,Cercle Brugge
