Date,Competition,Home team,Score,Away team
16/01/22,FDA,Antwerp,3-0,Sporting Charleroi
21/01/22,FDA,KV Oostende,1-2,Antwerp
25/01/22,FDA,Antwerp,1-1,Sint-Truiden
30/01/22,FDA,Gent,0-1,Antwerp
02/02/22,FDA,Kortrijk,0-2,Antwerp
05/02/22,FDA,Antwerp,0-2,Union Saint-Gilloise
11/02/22,FDA,RFC Seraing,0-1,Antwerp
20/02/22,FDA,Antwerp,1-2,Mechelen
27/02/22,FDA,Club Brugge,4-1,Antwerp
06/03/22,FDA,Antwerp,2-1,Beerschot
13/03/22,FDA,Anderlecht,2-1,Antwerp
19/03/22,FDA,Antwerp,1-0,Zulte Waregem
02/04/22,FDA,OH Leuven,0-1,Antwerp
09/04/22,FDA,Antwerp,1-1,Cercle Brugge
24/04/22,FDA,Club Brugge,1-0,Antwerp
01/05/22,FDA,Antwerp,0-0,Union Saint-Gilloise
08/05/22,FDA,Antwerp,0-4,Anderlecht
12/05/22,FDA,Anderlecht,2-1,Antwerp
15/05/22,FDA,Antwerp,1-3,Club Brugge
22/05/22,FDA,Union Saint-Gilloise,0-1,Antwerp
29/05/22,FDA,Gent,CANC,Antwerp
25/06/22,CLF,Antwerp,9-0,Hoogstraten
02/07/22,CLF,Antwerp,CANC,Mechelen
09/07/22,CLF,Salzburg,1-2,Antwerp
15/07/22,CLF,Antwerp,2-1,Dinamo Kiev
21/07/22,UEC,Antwerp,0-0,Drita
24/07/22,FDA,Mechelen,0-2,Antwerp
28/07/22,UEC,Drita,0-2,Antwerp
31/07/22,FDA,Antwerp,1-0,Zulte Waregem
04/08/22,UEC,Lillestrøm,1-3,Antwerp
07/08/22,FDA,Antwerp,4-2,OH Leuven
11/08/22,UEC,Antwerp,2-0,Lillestrøm
14/08/22,FDA,AS Eupen,0-1,Antwerp
18/08/22,UEC,Istanbul Basaksehir,1-1,Antwerp
25/08/22,UEC,Antwerp,1-3,Istanbul Basaksehir
30/11/20,FDA,Antwerp,3-2,OH Leuven
03/12/20,UEL,Antwerp,3-1,Ludogorets
06/12/20,FDA,Genk,4-2,Antwerp
10/12/20,UEL,Tottenham Hotspur,2-0,Antwerp
13/12/20,FDA,Antwerp,0-2,Club Brugge
16/12/20,FDA,Antwerp,0-1,Zulte Waregem
20/12/20,FDA,SK Beveren,0-3,Antwerp
27/12/20,FDA,Antwerp,2-1,Sporting Charleroi
10/01/21,FDA,Mechelen,3-0,Antwerp
17/01/21,FDA,Gent,0-1,Antwerp
20/01/21,FDA,Antwerp,1-0,Cercle Brugge
23/01/21,FDA,Antwerp,1-2,KV Oostende
26/01/21,FDA,AS Eupen,0-2,Antwerp
29/01/21,FDA,Antwerp,3-2,SK Beveren
02/02/21,CUP,Antwerp,2-1,RAAL La Louvière
07/02/21,FDA,Beerschot,1-2,Antwerp
10/02/21,CUP,Club Brugge,3-1,Antwerp
14/02/21,FDA,Standard Liège,1-1,Antwerp
18/02/21,UEL,Antwerp,3-4,Rangers
21/02/21,FDA,Antwerp,0-0,Sint-Truiden
25/02/21,UEL,Rangers,5-2,Antwerp
01/03/21,FDA,OH Leuven,2-0,Antwerp
06/03/21,FDA,Antwerp,4-2,Kortrijk
21/03/21,FDA,Club Brugge,0-2,Antwerp
05/04/21,FDA,Antwerp,1-4,Anderlecht
12/04/21,FDA,Excel Mouscron,2-3,Antwerp
17/04/21,FDA,Antwerp,3-2,Genk
30/04/21,FDA,Antwerp,2-3,Genk
08/05/21,FDA,Anderlecht,2-2,Antwerp
13/05/21,FDA,Antwerp,0-0,Club Brugge
16/05/21,FDA,Club Brugge,2-1,Antwerp
20/05/21,FDA,Genk,4-0,Antwerp
23/05/21,FDA,Antwerp,1-0,Anderlecht
03/07/21,CLF,Antwerp,CANC,Utrecht
17/07/21,CLF,Antwerp,0-0,Monaco
25/07/21,FDA,Mechelen,3-2,Antwerp
01/08/21,FDA,Antwerp,0-1,Kortrijk
08/08/21,FDA,Standard Liège,2-5,Antwerp
13/08/21,FDA,Sporting Charleroi,1-1,Antwerp
19/08/21,UEL,Omonia Nicosia,4-2,Antwerp
26/08/21,UEL,Antwerp,P2-0P,Omonia Nicosia
29/08/21,FDA,Antwerp,2-2,OH Leuven
11/09/21,FDA,AS Eupen,0-1,Antwerp
16/09/21,UEL,Olympiakos,2-1,Antwerp
19/09/21,FDA,Antwerp,2-1,RFC Seraing
22/09/21,FDA,Antwerp,4-2,Genk
26/09/21,FDA,Union Saint-Gilloise,1-2,Antwerp
30/09/21,UEL,Antwerp,0-1,Eintracht Frankfurt
03/10/21,FDA,Antwerp,1-0,Gent
16/10/21,FDA,Zulte Waregem,2-1,Antwerp
29/09/19,FDA,KV Oostende,1-1,Antwerp
06/10/19,FDA,Antwerp,2-2,Standard Liège
20/10/19,FDA,Mechelen,3-1,Antwerp
26/10/19,FDA,Antwerp,3-1,Kortrijk
30/10/19,FDA,Genk,2-2,Antwerp
02/11/19,FDA,Excel Mouscron,3-1,Antwerp
10/11/19,FDA,Antwerp,2-1,Club Brugge
21/11/19,FDA,Antwerp,3-2,Gent
24/11/19,FDA,Gent,1-1,Antwerp
29/11/19,FDA,Antwerp,1-0,Mechelen
03/12/19,CUP,Antwerp,P3-3P,Genk
06/12/19,FDA,SK Beveren,0-4,Antwerp
14/12/19,FDA,Antwerp,1-0,AS Eupen
18/12/19,CUP,Standard Liège,1-3,Antwerp
22/12/19,FDA,Sint-Truiden,1-1,Antwerp
27/12/19,FDA,Antwerp,0-0,Anderlecht
10/01/20,CLF,Antwerp,3-0,Lugano
19/01/20,FDA,Cercle Brugge,1-2,Antwerp
23/01/20,CUP,Antwerp,1-1,Kortrijk
26/01/20,FDA,Antwerp,2-1,Zulte Waregem
02/02/20,FDA,Club Brugge,1-0,Antwerp
06/02/20,CUP,Kortrijk,0-1,Antwerp
13/02/20,FDA,Antwerp,1-1,Genk
16/02/20,FDA,Antwerp,1-1,Sporting Charleroi
22/02/20,FDA,Standard Liège,1-0,Antwerp
29/02/20,FDA,Antwerp,3-1,KV Oostende
07/03/20,FDA,Kortrijk,0-1,Antwerp
15/03/20,FDA,Antwerp,CANC,Excel Mouscron
08/07/20,CLF,Antwerp,0-1,AS Eupen
18/07/20,CLF,Antwerp,0-0,Utrecht
22/07/20,CLF,Antwerp,1-3,Roda JC
25/07/20,CLF,Zwarte Leeuw,1-2,Antwerp
