Player,team,G,P,1st
M. Cassierra,Zenit,16,0,7
J. Córdoba,Krasnodar,14,0,9
K. Tyukavin,Dinamo M,13,0,8
F. Chalov,CSKA,10,6,5
E. Spertsyan,Krasnodar,10,5,5
B. Garré,Krylya,8,4,4
E. Golenkov,Rostov,8,0,4
M. Konaté,Akhmat,8,4,6
A. Zabolotny,CSKA,8,1,6
M. Daku,Rubin,7,1,5
N. Kalinskiy,Nizhny Novg.,7,4,6
E. Markov,Fakel,7,3,7
T. Bongonda,Spartak M,6,1,5
M. Glushenkov,Lokomotiv M,6,0,5
M. Mohebi,Rostov,6,0,1
