Player,team,G,P,1st
V. Gyökeres,Sporting,26,4,11
S. Banza,Braga,21,3,7
Rafa Mújica,Arouca,20,0,11
J. Cádiz,Famalicão,15,3,10
S. Essende,Vizela,15,0,12
Cristo González,Arouca,14,2,6
Héctor Hernández,Chaves,14,5,10
Evanilson,Porto,12,2,8
Paulinho,Sporting,12,0,5
Bruno Duarte,Farense,12,4,8
Rafa,Benfica,12,0,4
Jota Silva,Vitória SC,11,0,7
Pote,Sporting,11,0,3
André Silva,Vitória SC,10,0,5
R. Boženík,Boavista,9,0,4
