Date,Competition,Home team,Score,Away team
08/08/21,PRE,St. Johnstone,1-1,Motherwell
12/08/21,UEL,St. Johnstone,2-4,Galatasaray
15/08/21,LEC,Arbroath,P2-2P,St. Johnstone
19/08/21,UEC,LASK,1-1,St. Johnstone
22/08/21,PRE,St. Johnstone,0-1,Dundee United
26/08/21,UEC,St. Johnstone,0-2,LASK
29/08/21,PRE,St. Mirren,0-0,St. Johnstone
11/09/21,PRE,St. Johnstone,1-2,Rangers
18/09/21,PRE,Aberdeen,0-1,St. Johnstone
22/09/21,LEC,Dundee,0-2,St. Johnstone
26/09/21,PRE,Hibernian,1-0,St. Johnstone
02/10/21,PRE,St. Johnstone,3-1,Dundee
16/10/21,PRE,St. Johnstone,0-3,Livingston
23/10/21,PRE,Celtic,2-0,St. Johnstone
27/10/21,PRE,St. Johnstone,1-1,Hearts
30/10/21,PRE,Dundee United,0-1,St. Johnstone
06/11/21,PRE,St. Johnstone,0-0,St. Mirren
20/11/21,LEC,Celtic,1-0,St. Johnstone
27/11/21,PRE,St. Johnstone,1-2,Hibernian
01/12/21,PRE,Dundee,1-0,St. Johnstone
11/12/21,PRE,St. Johnstone,0-1,Aberdeen
15/12/21,PRE,Rangers,2-0,St. Johnstone
18/12/21,PRE,Motherwell,2-0,St. Johnstone
22/12/21,PRE,St. Johnstone,1-2,Ross County
26/12/21,PRE,St. Johnstone,1-3,Celtic
18/01/22,PRE,Hearts,2-0,St. Johnstone
22/01/22,FAC,Kelty Hearts,E1-0E,St. Johnstone
26/01/22,PRE,St. Johnstone,0-0,Dundee
01/02/22,PRE,Livingston,1-2,St. Johnstone
05/02/22,PRE,St. Johnstone,0-0,Dundee United
09/02/22,PRE,St. Mirren,2-1,St. Johnstone
15/02/22,PRE,Aberdeen,1-1,St. Johnstone
19/02/22,PRE,St. Johnstone,2-1,Hearts
26/02/22,PRE,Ross County,3-1,St. Johnstone
02/03/22,PRE,St. Johnstone,0-1,Rangers
05/03/22,PRE,Hibernian,0-0,St. Johnstone
19/03/22,PRE,St. Johnstone,2-1,Motherwell
01/03/20,FAC,St. Johnstone,0-1,Celtic
04/03/20,PRE,St. Mirren,0-0,St. Johnstone
07/03/20,PRE,St. Johnstone,1-0,Livingston
14/03/20,PRE,Hibernian,CANC,St. Johnstone
21/03/20,PRE,Celtic,CANC,St. Johnstone
04/04/20,PRE,St. Johnstone,CANC,Hamilton Academical
01/08/20,PRE,Dundee United,1-1,St. Johnstone
12/08/20,PRE,Rangers,3-0,St. Johnstone
15/08/20,PRE,Kilmarnock,1-2,St. Johnstone
