Player,team,G,P,1st
L. Martínez,Inter,23,2,7
D. Vlahović,Juventus,16,2,9
A. Guðmundsson,Genoa,14,4,10
V. Osimhen,Napoli,14,3,5
H. Çalhanoğlu,Inter,13,10,6
P. Dybala,Roma,13,7,6
O. Giroud,Milan,13,4,7
M. Thuram,Inter,12,0,5
D. Zapata,Torino,12,0,9
T. Koopmeiners,Atalanta,11,2,6
R. Lukaku,Roma,11,0,6
M. Soulé,Frosinone,11,5,7
J. Zirkzee,Bologna,11,2,6
K. Kvaratskhelia,Napoli,10,0,4
R. Orsolini,Bologna,10,2,5
