Player,team,G,P,1st
H. Kane,Bayern,35,4,11
S. Guirassy,Stuttgart,25,4,11
L. Openda,Leipzig,24,2,7
D. Undav,Stuttgart,18,0,7
E. Demirović,Augsburg,15,3,8
M. Beier,Hoffenheim,13,0,6
M. Ducksch,Bremen,12,5,8
N. Füllkrug,Dortmund,12,3,6
T. Kleindienst,Heidenheim,11,2,5
A. Kramarić,Hoffenheim,11,5,8
D. Malen,Dortmund,11,0,7
Omar Marmoush,Frankfurt,11,1,7
V. Boniface,Leverkusen,11,2,6
B. Šeško,Leipzig,11,0,3
F. Wirtz,Leverkusen,11,1,5
