Player,team,G,P,1st
K. Denkey,Cercle Brugge,23,2,12
M. Amoura,R. Union SG,17,1,7
Thiago,Club Brugge,16,6,8
A. Dreyer,Anderlecht,15,3,7
A. Koïta,Sint-Truiden,14,3,7
K. Dolberg,Anderlecht,13,3,8
N. Madsen,Westerlo,12,8,6
G. Nilsson,R. Union SG,12,4,7
V. Janssen,Antwerp,10,1,6
A. Skov Olsen,Club Brugge,10,2,4
T. Tissoudali,Gent,10,0,5
W. Kanga,Standard,9,2,8
T. Arokodare,Genk,8,0,4
I. Davies,Kortrijk,8,0,7
M. Gueye,RWDM,8,0,7
