Player,team,G,P,1st
A. Dovbyk,Girona,19,5,9
J. Bellingham,Real Madrid,17,1,7
A. Sørloth,Villarreal,17,0,6
A. Budimir,Osasuna,16,3,10
R. Lewandowski,Barcelona,16,3,5
Borja Mayoral,Getafe,15,4,11
Gorka Guruzeta,Bilbao,14,0,8
Álvaro Morata,Atl. Madrid,14,0,7
Hugo Duro,Valencia,13,0,10
A. Griezmann,Atl. Madrid,13,4,6
Vinícius Júnior,Real Madrid,13,1,6
Y. En-Nesyri,Sevilla,12,0,9
J. Strand Larsen,Celta Vigo,11,0,6
M. Uzuni,Granada,11,4,6
Willian José,Betis,10,0,7
