Player,team,G,P,1st
K. Mbappé,PSG,26,6,8
J. David,Lille,17,2,13
A. Lacazette,Lyon,16,1,10
P. Aubameyang,Marseille,14,3,6
W. Ben Yedder,Monaco,13,1,5
T. Dallinga,Toulouse,12,1,8
Gonçalo Ramos,PSG,11,1,5
G. Mikautadze,Metz,11,3,7
T. Moffi,Nice,11,3,7
A. Kalimuendo,Rennes,9,2,4
Mostafa Mohamed,Nantes,8,3,5
A. Adams,Montpellier,8,0,4
B. Bourigeaud,Rennes,8,6,5
R. Del Castillo,Brest,8,3,4
T. Minamino,Monaco,8,0,5
